CustomerID,Gender,PaymentMethod,Sign Up date,Country,Sector,Product,MonthlyCharges,Total Revenue
7590-VHVEG,Female,Electronic check,7/15/2012,Kenya,Lending,Bulk SMS,0,0
5575-GNVDE,Male,Mailed check,2/28/2017,Kenya,Entertainment,Premium SMS,0,0
3668-QPYBK,Male,Mailed check,1/15/2016,Kenya,Insurance,Airtime,0,0
7795-CFOCW,Male,Bank transfer (automatic),10/29/2012,Kenya,Lending,Bulk SMS,0,0
9237-HQITU,Female,Electronic check,9/5/2013,Kenya,Payment Gateway,Bulk SMS,0,0
9305-CDSKC,Female,Electronic check,4/30/2013,Kenya,Clean Energy,Bulk SMS,0,0
1452-KIOVK,Male,Credit card (automatic),9/17/2013,Kenya,Clean Energy,Bulk SMS,0,0
6713-OKOMC,Female,Mailed check,12/15/2014,United States,Consultancy,Premium SMS,0,0
7892-POOKP,Female,Electronic check,8/3/2012,Kenya,Consultancy,Airtime,0,0
6388-TABGU,Male,Bank transfer (automatic),12/3/2015,Kenya,Consultancy,Bulk SMS,0,0
9763-GRSKD,Male,Mailed check,11/4/2013,Kenya,Consultancy,Bulk SMS,0,0
7469-LKBCI,Male,Credit card (automatic),7/15/2012,Kenya,Developer,Airtime,0,0
8091-TTVAX,Male,Credit card (automatic),7/4/2013,Kenya,Banking,Bulk SMS,0,0
0280-XJGEX,Male,Bank transfer (automatic),12/9/2014,Kenya,ISP,Bulk SMS,0,0
5129-JLPIS,Male,Electronic check,6/9/2015,Kenya,Consultancy,Airtime,0,0
3655-SNQYZ,Female,Credit card (automatic),9/11/2013,Kenya,Consultancy,Airtime,0,0
8191-XWSZG,Female,Mailed check,12/14/2014,Kenya,Consultancy,Bulk SMS,0,0
9959-WOFKT,Male,Bank transfer (automatic),5/11/2016,Kenya,Developer,Bulk SMS,0,0
4190-MFLUW,Female,Credit card (automatic),3/11/2013,Kenya,Clean Energy,Bulk SMS,0,0
4183-MYFRB,Female,Electronic check,10/29/2015,Kenya,Entertainment,Premium SMS,0,0
8779-QRDMV,Male,Electronic check,10/7/2013,Kenya,Consultancy,Airtime,0,0
1680-VDCWW,Male,Bank transfer (automatic),9/23/2016,Kenya,Clean Energy,Bulk SMS,0,0
1066-JKSGK,Male,Mailed check,7/20/2015,Kenya,Consultancy,Airtime,0,0
3638-WEABW,Female,Credit card (automatic),11/14/2012,Kenya,FMCG,Bulk SMS,0,0
6322-HRPFA,Male,Credit card (automatic),11/25/2015,Kenya,Banking,Bulk SMS,0,0
6865-JZNKO,Female,Bank transfer (automatic),8/29/2016,United States,Financial Services,Bulk SMS,0,0
6467-CHFZW,Male,Electronic check,1/20/2016,Kenya,Gaming,Bulk SMS,0,0
8665-UTDHZ,Male,Electronic check,7/1/2014,Kenya,Gaming,Bulk SMS,0,0
5248-YGIJN,Male,Credit card (automatic),1/4/2017,Kenya,Gaming,Premium SMS,0,0
8773-HHUOZ,Female,Mailed check,6/24/2016,United States,Health,Bulk SMS,0,0
3841-NFECX,Female,Credit card (automatic),7/23/2014,Kenya,Lending,Bulk SMS,0,0
4929-XIHVW,Male,Credit card (automatic),7/15/2012,Kenya,Payment Gateway,USSD,0,0
6827-IEAUQ,Female,Mailed check,9/15/2016,Kenya,Research,Bulk SMS,0,0
7310-EGVHZ,Male,Bank transfer (automatic),10/4/2016,Kenya,Banking,USSD,0,0
3413-BMNZE,Male,Bank transfer (automatic),8/14/2012,Kenya,Education,Bulk SMS,0,0
6234-RAAPL,Female,Bank transfer (automatic),10/7/2016,Kenya,Lending,Airtime,0,0
6047-YHPVI,Male,Electronic check,2/4/2016,United Kingdom,Banking,Bulk SMS,0,0
6572-ADKRS,Female,Credit card (automatic),9/4/2015,Kenya,Financial Services,Bulk SMS,0,0
5380-WJKOV,Male,Electronic check,11/3/2016,Kenya,Payment Gateway,Airtime,0,0
8168-UQWWF,Female,Bank transfer (automatic),8/8/2016,Kenya,Clean Energy,Bulk SMS,0,0
8865-TNMNX,Male,Mailed check,6/29/2013,Kenya,Consultancy,Airtime,0,0
9489-DEDVP,Female,Credit card (automatic),4/22/2015,Kenya,Health,Airtime,0,0
9867-JCZSP,Female,Mailed check,1/5/2016,Kenya,Consultancy,Airtime,0,0
4671-VJLCL,Female,Credit card (automatic),5/25/2016,Kenya,Clean Energy,Bulk SMS,0,0
4080-IIARD,Female,Electronic check,7/8/2016,Kenya,Consultancy,Airtime,0,0
3714-NTNFO,Female,Electronic check,2/12/2013,Kenya,Lending,Bulk SMS,0,0
5948-UJZLF,Male,Mailed check,5/5/2016,Kenya,Consultancy,Bulk SMS,0,0
7760-OYPDY,Female,Electronic check,2/10/2016,Kenya,Agriculture,Voice,0,0
7639-LIAYI,Male,Credit card (automatic),4/22/2013,Kenya,Health,Bulk SMS,0,0
2954-PIBKO,Female,Credit card (automatic),1/25/2014,Kenya,Clean Energy,Airtime,0,0
8012-SOUDQ,Female,Electronic check,7/18/2012,Kenya,Consultancy,Bulk SMS,0,0
9420-LOJKX,Female,Credit card (automatic),2/28/2017,Kenya,Consultancy,Bulk SMS,0,0
6575-SUVOI,Female,Credit card (automatic),9/23/2014,Kenya,Education,Airtime,0,0
7495-OOKFY,Female,Credit card (automatic),12/14/2016,Uganda,Retail,Bulk SMS,0,0
4667-QONEA,Female,Credit card (automatic),6/21/2017,Nigeria,Gaming,Premium SMS,0,0
1658-BYGOY,Male,Electronic check,9/16/2014,Kenya,Lending,Bulk SMS,0,0
8769-KKTPH,Female,Credit card (automatic),4/17/2015,Kenya,Gaming,Bulk SMS,0,0
5067-XJQFU,Male,Electronic check,3/11/2016,Kenya,Clean Energy,Bulk SMS,0,0
3957-SQXML,Female,Credit card (automatic),11/17/2016,Kenya,Gaming,Bulk SMS,0,0
5954-BDFSG,Female,Credit card (automatic),7/9/2015,Kenya,Agriculture,Airtime,0,0
0434-CSFON,Female,Electronic check,5/13/2014,Kenya,Consultancy,Bulk SMS,0,0
1215-FIGMP,Male,Bank transfer (automatic),5/3/2016,Kenya,Clean Energy,Bulk SMS,0,0
0526-SXDJP,Male,Bank transfer (automatic),1/27/2013,Kenya,Consultancy,Bulk SMS,0,0
0557-ASKVU,Female,Credit card (automatic),7/24/2017,Kenya,Developer,Airtime,0,0
5698-BQJOH,Female,Electronic check,4/26/2013,Kenya,Education,Bulk SMS,0,0
5122-CYFXA,Female,Electronic check,8/23/2017,Kenya,Payment Gateway,Bulk SMS,0,0
8627-ZYGSZ,Male,Electronic check,12/4/2016,Uganda,Developer,Bulk SMS,0,0
3410-YOQBQ,Female,Mailed check,4/17/2015,Kenya,Lending,Bulk SMS,0,0
3170-NMYVV,Female,Bank transfer (automatic),2/28/2017,Kenya,Developer,Airtime,0,0
7410-OIEDU,Male,Mailed check,4/29/2014,Kenya,Entertainment,Premium SMS,0,0
2273-QCKXA,Male,Mailed check,4/3/2016,Kenya,Consultancy,Bulk SMS,0,0
0731-EBJQB,Female,Electronic check,10/12/2015,Kenya,Education,Bulk SMS,0,0
1891-QRQSA,Male,Bank transfer (automatic),5/16/2016,Kenya,Consultancy,Airtime,0,0
8028-PNXHQ,Male,Bank transfer (automatic),9/20/2016,Kenya,Financial Services,Bulk SMS,0,0
5630-AHZIL,Female,Bank transfer (automatic),12/4/2015,Kenya,AT,Airtime,0,0
2673-CXQEU,Female,Electronic check,8/10/2016,Kenya,Payment Gateway,Bulk SMS,0,0
6416-JNVRK,Female,Credit card (automatic),9/30/2014,Kenya,Energy,Bulk SMS,0,0
5590-ZSKRV,Female,Mailed check,10/23/2016,Kenya,Developer,Airtime,0,0
0191-ZHSKZ,Male,Electronic check,10/4/2017,Nigeria,Education,Bulk SMS,0,0
3887-PBQAO,Female,Credit card (automatic),7/23/2015,Kenya,Education,Bulk SMS,0,0
5919-TMRGD,Female,Electronic check,9/3/2013,Kenya,Clean Energy,Bulk SMS,0,0
8108-UXRQN,Female,Electronic check,11/20/2014,Kenya,FMCG,Bulk SMS,0,0
9191-MYQKX,Female,Bank transfer (automatic),7/21/2015,Kenya,Logistics,Airtime,0,0
9919-YLNNG,Female,Bank transfer (automatic),10/18/2016,Kenya,FMCG,Bulk SMS,0,0
0318-ZOPWS,Female,Bank transfer (automatic),3/22/2013,Kenya,Lending,Bulk SMS,0,0
4445-ZJNMU,Male,Credit card (automatic),4/3/2014,Kenya,Developer,Airtime,0,0
4808-YNLEU,Female,Bank transfer (automatic),7/5/2017,Kenya,Gaming,Bulk SMS,0,0
1862-QRWPE,Female,Bank transfer (automatic),2/23/2015,Kenya,Gaming,Bulk SMS,0,0
2796-NNUFI,Female,Mailed check,1/25/2014,Kenya,Health,Bulk SMS,0,0
3016-KSVCP,Male,Mailed check,1/13/2016,Kenya,Consultancy,Airtime,0,0
4767-HZZHQ,Male,Bank transfer (automatic),2/13/2016,Kenya,Financial Services,USSD,0,0
2424-WVHPL,Male,Electronic check,8/4/2013,Kenya,Banking,Bulk SMS,0,0
7233-PAHHL,Male,Mailed check,4/26/2016,Kenya,Financial Services,Bulk SMS,0,0
